Trial,1,Sim Type,5,Distance Weight,0.9,Random Seed,15,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,2,Sim Type,5,Distance Weight,0.9,Random Seed,30,Min Iterations,2500,Distance cost,6.087148796867803,Manip Cost,1.9122811470625347,Total cost,5.669662031887276,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Joint 2: ,0.4,0.365,0.386,0.328,0.346,0.348,0.352,0.357,0.366,0.376
Joint 3: ,0.9,1.054,1.04,0.96,0.965,1.004,0.989,1.009,1.023,0.981
Joint 4: ,0.9,0.869,0.891,0.919,0.951,0.943,0.947,0.944,0.943,0.974
Joint 5: ,0.9,1.002,0.956,0.862,0.848,0.857,0.825,0.824,0.819,0.78
Joint 6: ,0.0,0.094,0.126,0.188,0.22,0.22,0.22,0.22,0.22,0.251
Trial,16,Sim Type,5,Distance Weight,0.9,Random Seed,240,Min Iterations,2500,Distance cost,6.244271995340071,Manip Cost,1.5642432249907503,Total cost,5.776269118305139,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.065,0.05,0.05,0.069,0.048,0.05,0.063,0.024
Total Cost,0.0,0.6,1.37503,1.97503,2.57503,3.42517,4.02607,4.65935,5.45139,5.77627
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.24905264975677355,0.28056308916091977,0.33281563082979937,0.32406530007928774,0.37774655516396977
Joint 0: ,-0.2,-0.18,-0.09,-0.055,0.002,0.115,0.163,0.215,0.233,0.244
Joint 1: ,0.4,0.345,0.329,0.399,0.492,0.6,0.662,0.741,0.872,0.906
Joint 2: ,0.4,0.42,0.334,0.344,0.363,0.348,0.363,0.373,0.41,0.407
Joint 3: ,0.9,0.987,1.115,1.139,1.102,1.04,1.042,1.013,0.945,0.943
Joint 4: ,0.9,0.848,0.788,0.786,0.799,0.872,0.886,0.894,0.867,0.867
Joint 5: ,0.9,0.969,0.992,0.951,0.907,0.85,0.811,0.778,0.776,0.766
Joint 6: ,0.0,0.018,0.159,0.159,0.159,0.254,0.285,0.285,-0.092,-0.092
Trial,17,Sim Type,5,Distance Weight,0.9,Random Seed,255,Min Iterations,2500,Distance cost,6.355865782324959,Manip Cost,0.8834956494791164,Total cost,5.808628769040375,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1.0,1.0,1.0,1e-20,3.987355763e-11,4.085492887e-11,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.036,0.05,0.05,0.068,0.072
Total Cost,0.0,0.6,1.2,1.8,2.4,2.8347,3.4347,4.06224,4.9175,5.80863
Local Manip Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27542035778663554,0.33319822721582537,0.27487706447665544
Joint 0: ,-0.2,-0.163,-0.123,-0.07,-0.026,0.01,0.067,0.115,0.288,0.242
Joint 1: ,0.4,0.319,0.312,0.328,0.403,0.472,0.568,0.657,0.719,0.919
Joint 2: ,0.4,0.306,0.332,0.366,0.381,0.375,0.388,0.393,0.233,0.404
Joint 3: ,0.9,1.026,1.088,1.135,1.151,1.133,1.095,1.067,1.051,0.936
Joint 4: ,0.9,0.806,0.789,0.786,0.787,0.795,0.827,0.835,0.908,0.957
Joint 5: ,0.9,1.002,1.063,1.083,1.063,1.032,0.982,0.94,0.784,0.758
