Joint 6: ,0.0,-0.628,-1.916,-3.079,-4.006,-3.501,-3.741,-3.803,-4.363,-4.269,-4.221
Trial,23,Sim Type,6,Distance Weight,1,Random Seed,345,Min Iterations,1000,Distance cost,0.8438722993788126,Manip Cost,0.18607753449769762,Total cost,0.8016786844098719,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,0.061221752381096714,0.05565850619211516,2.87212605e-11,0.0398108080335157,0.03752156934745881,0.03518054843895828
Distance to Last Node,0.0,0.119,0.419,0.05,0.091,0.111,0.093,0.122,0.092
Total Cost,0.0,0.08713,0.3931,0.42965,0.49635,0.57758,0.64533,0.73478,0.80168
Joint 0: ,0.0,0.987,0.781,1.205,1.18,1.877,1.638,1.482,1.619
Joint 1: ,-0.7,-1.451,-1.757,-1.678,-1.396,-1.283,-1.254,-1.198,-1.046
Joint 2: ,0.0,-0.418,-0.64,-1.059,-1.398,-1.424,-1.374,-1.457,-1.476
Joint 3: ,1.5,1.653,1.763,1.794,1.836,1.453,1.422,1.558,1.514
Joint 4: ,0.0,-1.025,-0.976,-1.245,-1.136,-0.36,-0.322,-0.055,-0.042
Joint 5: ,1.5,1.791,1.319,0.952,0.952,0.386,0.354,0.718,0.663
Joint 6: ,0.0,-1.1,-1.979,-2.372,-2.968,-3.473,-3.536,-3.442,-3.583
Trial,24,Sim Type,6,Distance Weight,1,Random Seed,360,Min Iterations,1000,Distance cost,0.708670534175445,Manip Cost,0.35114620888761844,Total cost,0.6732370074666727,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,0.059489841418810134,4.691757935e-11,0.0,0.03323670919332934,0.03293596400588833,0.0,0.033288552613226774,0.03245830070873239,0.03361747748313574
Distance to Last Node,0.0,0.05,0.088,0.097,0.05,0.118,0.108,0.092,0.117,0.12,0.081
Total Cost,0.0,0.03655,0.10075,0.17137,0.20792,0.29442,0.37366,0.44065,0.52631,0.61375,0.67324
Joint 0: ,0.0,0.769,1.543,1.614,1.939,0.935,1.295,1.614,1.544,1.471,1.595
Joint 1: ,-0.7,-1.366,-1.085,-1.081,-1.148,-0.313,-0.717,-1.176,-0.961,-0.922,-0.982
Joint 2: ,0.0,-0.77,-1.405,-1.919,-1.969,-1.872,-1.973,-1.907,-1.602,-1.671,-1.592
